UNW
する
先生
いう
なる
奥さん
ない
ある
父
思う
聞く
いる
自分
見る
母
人
言葉
帰る
出る
来る
できる
考える
答える
顔
知る
死ぬ
口
心
手紙
立つ
兄
眼
見える
行く
書く
お嬢さん
悪い
知れる
人間
手
間
出す
宅
分る
様子
先
通り
笑う
好い
読む
解る
家
叔父
心持
やる
妻
黙る
話す
声
財産
生きる
動く
頭
違う
呼ぶ
気
早い
起る
持つ
強い
一つ
女
お父さん
忘れる
落ちる
態度
もつ
医者
取る
恋
変る
調子
向う
はいる
いく
風
おっしゃる
感じる
歩く
置く
付く
向く
見せる
長い
頼む
信じる
書物
会う
いっしょ
墓
受ける
困る
男
世間
室
繰り返す
得る
気が付く
新しい
える
構う
代り
子供
なさる
気分
打ち明ける
驚く
向かう
掛ける
金
機会
外
待つ
元
使う
国
若い
胸
自身
与える
思い出す
いえる
始める
寝る
一種
いい
庭
亡くなる
学校
病人
向ける
人間らしい
床
隠す
進む
席
念
生れる
付ける
着く
耳
貰う
喜ぶ
なれる
世の中
電報
深い
ただ
お母さん
事件
道
い
最後
奥
傍
受け取る
答え
罪悪
大学
始まる
裏
新聞
かう
しまう
事
食う
止める
つく
むずかしい
尋ねる
性質
認める
理由
時機
暗い
立てる
夏
覚える
他
珍しい
年
思想
驚かす
好
恐ろしい
妹
嫌う
過ぎる
くる
移る
遊ぶ
問い
机
夫
苦しい
悪人
身体
田舎
離れる
開ける
面白い
聞こえる
続く
坐る
出掛ける
筆
上げる
力
最初
断る
感ずる
苦しむ
淋しい
死
恐れる
なくなる
影
極
冬
飲む
勇気
腹の中
聞き返す
悲しい
留める
語る
運命
玄関
目的
地位
みる
送る
済む
聞かす
永久
限る
よい
着物
思い
感じ
足
着ける
相手
引く
映る
よる
興味
古い
経
海
沈む
下女
近頃
本当
問う
持ち出す
理屈
余裕
宿
友達
座敷
書斎
未来
広い
色
重い
払う
応じる
思い切る
赤い
特色
学生
墓参り
天子
残る
暴力
起す
腹
間際
多い
ちる
つける
姉
留まる
底
取り合う
名
黒い
学資
触れる
いくら
論文
休む
従妹
軽い
腰
伴
うつ
嘘
入る
場
神経
食卓
起きる
越す
打つ
食べる
両方
とく
雑誌
去る
出
夫婦
みえる
時代
忙しい
教える
事情
書生
切る
買う
例
め
利害
吹く
寒い
抜ける
茶碗
近い
状態
貰
伯父
悩ます
述べる
二つ
まえる
文句
癖
証書
家族
逆
心得る
加える
良心
及ぶ
止す
美しい
連れる
結び付ける
現代
落ち
切り上げる
考え
あと
付け加える
殺す
空気
真中
伝える
用
何事
眺める
味わう
別
押す
枕元
隅
襖
風邪
経る
静まる
作
見抜く
引き取る
本
悟る
将棋
人生
病室
鞭
用いる
平気
子
渋る
西洋
間柄
遅い
切れる
客
偉い
尽きる
日
込む
訳
足りる
大将
遠い
そのもの
口元
下りる
思える
住む
止
召し上がる
義理
おろす
知らん顔
ろう
おう
治る
未亡人
勧める
届く
横たわる
やむをえる
親
物語る
代る
音
下
町
失う
旨い
切り離す
養家
苦
急ぐ
精神
散る
好く
かかる
花
知り合い
愛す
纏
午
夕飯
ため
蒼
入れる
郵便
仲
語気
迷う
父母
冷たい
凝る
改める
立ち上がる
並べる
告げる
つる
学年
印象
責任
冬休み
欠点
仕様
済ます
訴える
万事
腎臓
低い
しかる
行李
執る
実家
賑
愛
開く
銀杏
椎茸
帰り
助かる
許す
罹る
着る
夏休み
すか
躑躅
取り残す
都会
首
泥棒
縁台
知識
白い
かぶれる
差す
寄る
境遇
背中
固い
蠅
養子
断わる
暑い
苦痛
分ける
片付く
妻君
専門
琴
傾ける
薄
運ぶ
探す
茶の間
罪
伺う
だい
友人
否
疑う
廻る
命
顧みる
兄さん
軍人
思いあたる
狭い
病症
入口
定める
付け足す
倍
家庭
今しがた
夢
弱い
まつ
詰る
間接
曲る
縁側
通る
例外
眼鏡
遣る
話し声
働く
犬
取り付き
厭世
経つ
柔らかい
小さい
感傷
時候
取り計らう
包む
書籍
式
内容
放す
故郷
停車場
路
職
誓う
ああなる
死病
かねる
信念
襲う
墓地
遠慮ない
習う
暇
視線
次
なする
恥
部分
窓
疑い
格別
つづく
あすこ
張る
洋
心細い
倒れる
寺
顔色
似る
むしろ
秋
立場
心得
破る
叔父さん
尽かす
射る
任せる
包み
巻く
碁
宛
個人
兄弟
浜辺
過ごす
詳しい
陥る
重ねる
帽子
機嫌
高い
出し
妾
書き残す
価値
突き付ける
感情
縁故
中学
地面
盛り
笑い
大方
陛下
礼
寿命
本人
上
好意
間に合う
曇る
郷里
当る
熱
売る
遍い
避ける
つまり
省く
向い
掛茶屋
不愉快
先輩
紙
人世
背
向上心
持病
部屋
なす
主意
図書館
嬉しい
損
怒る
喜び
突く
取り上げる
坂
守る
通す
気味
寄せる
善人
修業
時分
目
親戚
親類
眠り
意地
用事
姿
振る
一体
行う
返す
まるい
結末
気の毒
主人
片付ける
おっかさん
悲劇
帰れる
合せる
表情
訪ねる
一句
握る
脈
通り抜ける
双方
姿勢
月々
衣食
戻る
示す
両親
真実
控える
老い込む
半面
われる
振舞う
葉
植木
求める
懸ける
順序
枕辺
望む
吹き込む
教授
差し
利く
区切り
疑惑
取れる
利益
市
郊外
暮れる
正月
動かす
かなり
見詰める
憎む
遮る
負ける
愉快
参る
他人
要領
空
通じる
欺く
斥候
くい
辛い
観る
久しぶり
渡す
占める
周囲
物質
勝つ
お互い
まくる
下らない
思い込む
差
余り
かな
ひろげる
飯
若葉
誇り
膝
重き
横
汽車
対す
狂う
疲れる
似合う
匂い
有難い
お蔭
疑い深い
当座
おい
縁
合
方面
弱点
月
乏しい
知らせる
住居
ついで
表
澄ます
しいる
男の子
並ぶ
傾く
叱る
たつ
よろしい
生返事
帯びる
距離
手際
血
車
病
アイスクリーム
舌
休み
不平
出せる
娘
源
任
埋る
地
集める
有様
波瀾
手数
下す
実
食わせる
取り逃す
弾力
羽織
仕切り
蕎麦湯
世界
出来事
建てる
痛い
新着
片隅
考え直す
名づける
漲る
外套
時間割
浸る
掠る
生れ
縄
名前
受け入れる
価
招く
かる
起り
燻る
いらっしゃる
酔える
火
歯がゆい
断
理想
頼もしい
便宜
喜ばす
小言
染める
念頭
かこう
悔いる
いづ
規則正しい
物足りない
墳墓
異なる
畳む
勿体ない
考え出す
新婚
正
乱す
取り扱う
宗教
掘り出す
封じ込める
わるい
弛い
止まる
貸す
継げる
跪く
方角
鶯
挙動
閉じる
善
用件
申し分
寝坊
伐つ
茶褐色
年長
果敢ない
増す
忍び足
鳴らす
詰
持て余す
封
一口
影法師
雨
体質
一節
戸棚
椿
繊維
立て替える
上げ
重々しい
つまみ上げる
うかす
隠る
差し当る
慎む
幸
出会う
植え付ける
薄らぐ
集まる
ロマンス
映す
記者
怖い
造る
拭く
女性
因果
込み入る
左手
癪
麦酒
暮
薄志弱行
不承知
問い詰める
切り詰める
布
継ぎ足す
伴う
休める
名簿
移す
叱り付ける
取り違える
範囲
しける
潜む
水菓子
くら
畳み込む
垂れる
因る
沢山
夜食
超然
脱ぐ
基点
話し合える
指す
お客
義兄
強める
輪
近所
続き
土
申し出る
浮かされる
義務
存生
張り上げる
習慣
織り込む
癇
独り
幾日
晩食
いも
あさる
大人
絶える
たんび
役に立つ
言
虚栄
薄暗い
体力
人影
打ち倒す
時刻
投げ付ける
呼び出す
上がる
落ち合う
ハンケチ
敷居
痛む
天地
ほこり
人情
二の句
床の間
指さす
見縊る
いける
属する
暮らす
造り
為替
折る
城壁
引き付ける
並
独
中間
開き直る
回す
たまう
後部
職業
育てる
自叙伝
密
配る
育て上げる
凸凹
箒
考え込む
鯛
生み出す
迎える
見受ける
始まり
内妻
渋面
かかわる
肴
塊
涙
堪る
耳元
枯れる
灰
抱き合う
文字
戸口
後れる
浅い
読める
鹿
拙い
慰める
姉さん
平たい
光輝
朽ちる
単簡
三つ
暮す
放り出す
母親
愛想
埒
含む
及ぼす
控え
妨げる
陰口
中心
引き返す
奏す
外国
たせる
号外
終
意義
無言
厭く
喋
人山
坐す
読みかける
それなり
卓
夫人
も本
生垣
カラ
度胸
はにかむ
姓
金額
増
呼び掛ける
幹
咲く
口実
積み重ねる
苦しめる
敷く
小食
壁
杉
後ろ
呪
試み
首肯く
炬燵
待ち合わせる
結ぶ
起き上がる
利己
店
済まない
なり手
うすい
芍薬
さめる
烟草
耽る
得策
哀愁
面倒くさい
収入
損なう
趣
だす
いかる
無人
しれる
騒ぐ
年格好
紛らす
かりる
苗字
薄もの
冷やす
精しい
背戸
波動
吹き払う
着飾る
聖書
棚
能力
胃
わかる
不断
途切れる
情調
水枕
揺する
杯
活字
探し出す
遺族
出来
道理
数
こ
す
絶体絶命
かせる
縛る
著しい
干す
成り立つ
滅
そつ
材料
泣く
権利
茶箪笥
男女
結
卓上
多量
ころり
盛る
洗う
月給
霊
一区切り
科
考
盛り返す
ご飯
掻く
都合
不審
渇く
この世
つまらない
退る
縁談
想う
手足
屈辱
所
決す
永い
安閑
便所
傷つける
折り返す
責める
呑む
泳ぐ
空席
悪
合わせる
日取り
出身
善悪
遊び
追い掛ける
解す
組
熱い
大抵
いが
やって来る
碌
峯
生る
隅っこ
人々
封書
波
魂
立ち返る
話し合う
口気
お腹
流れる
整然
外側
いね
養父
外す
門前
曇らす
砂糖
たまらない
煩
坊主
幾分
教師
お茶
落す
片
折
画面
費用
吹かす
眩暈
ろうと
中る
逃げる
やくざ
銚子
かえる
忍ぶ
芝
脆い
活花
苦しみ
打ち解ける
高
森
性格
西南
連れ立つ
旗竿
きたない
目方
駈ける
金魚
帰り際
横文字
後
装う
やあ
ぶす
社交
達者
水
きまり
油蝉
羨い
運
山
いたい
髪
小勢
祈る
切ない
生命
鳥
口数
きる
表紙
父兄
ちらかす
見守る
理
腕組み
おいど
定
投げかける
目立つ
ざんする
かける
籠
つくつく法師
おす
角砂糖
外界
ひるがえす
次男
その道
きずく
繰り返し
行ける
触る
当てはまる
眠れる
明るい
覚ます
一言
苦情
振り掛ける
掌
はかる
爪
ひらめく
呑み込める
誘う
防
響く
木の下
性分
黙り込む
親しい
両手
横切る
カフス
国元
有す
生徒
入れ違う
細君
仕切
騙る
部門
不賛成
質
緒
平
輝く
振り起す
雲
荷物
返る
思い起す
握り締める
別荘
半襟
茶
火鉢
浮かぶ
光る
点じる
他流
苦い
何もの
懇意
比べる
辛
透き通る
異存
唾液
頼み
手製
現実
鈍い
余地
羊
現状
犠牲
裸体
自説
働き
付け込む
鼻
足音
値
書き添える
はまる
朦朧
術語
効果
祝う
海水浴
理解し合う
はさ
やり込める
旧友
眠たい
会
印
ゆく
書き込める
連れ出す
寄こす
自信
懸る
張り
現われる
役
蔭
鎖
臆面
祟
動ける
好都合
中学校
魔物
正しい
収める
救う
句
主治医
沈める
閉める
出合う
已める
愛情
自尊心
もうす
服装
白ける
人格
容体
正面
暖かい
皮膚
左
酒
雨戸
仕掛ける
挙げる
駄菓子
遠国
語り合う
麦藁
同性
脳
院長
行き詰まる
たん
南
年数
取り巻く
二男
順
わせ
手織
離す
いち
門口
わする
天罰
照り返す
梅
話せる
にがにがしい
おる
唐紙
ずく
汚れる
旅館
外観
身分
つかる
伸ばす
堪える
格子
松飾
染め付ける
脂
笑い事
だて
都
仕る
まう
打
虚勢
わし
働き掛ける
差せる
遺骨
見付ける
器械
不調法
肩身
黴
問いただす
防ぐ
首尾
たれる
寝そべる
我
あきれる
秘密
ます
半
敵
いおう
あの世
向い合せ
痛める
物
試みる
思い直す
棒
針仕事
見込む
苗
コーラン
上る
度数
世間体
状況
折角
紅茶
籠る
伏せる
好もしい
差支える
楽しみ
臭い
着せる
説く
ひとり
身
人形
一息
尿毒症
方向
蚊帳
してやる
建物
引っ込める
ずらす
眉
鉢
田地
静
好奇
浮く
臨時
古本屋
惜しい
濃い
苦々しい
真理
暗闇
おく
苦味
眼前
あたじけない
拾う
さき
なり
くつろぐ
気取る
要点
差し込む
重苦しい
団扇
こびり着く
後姿
痛ましい
なじる
疑る
戸外
書信
刺す
臨む
服
取り散らす
富む
模様
倫理
溜る
引っ張る
書状
お目にかかる
動かせる
珍
真向
わが家
黄色い
殺る
鞄
途
響
またぐ
異性
青空
潮
消える
窮屈
思想家
恥ずかしい
行
学ぶ
解く
優れる
博物館
覚え
酒量
執念深い
衰える
誤る
階段
弟
延ばす
ご覧
おしまい
終り
飼う
得
薬
封じる
改まる
異状
繰る
時
単調
剣
手前
親しみ
墓標
針
日光
主義
据える
押しやる
紙片
くらむ
促す
試す
突き破る
人数
立て掛ける
きする
聞き合せる
懐かしい
ためる
先方
鳴り
樹
吐気
浮べる
恐る
小理屈
血液
はる
親友
石
天
迷い
食欲
光線
達す
境内
景気
活ける
軽はずみ
田舎家
ナイフ
申し上げる
おくる
名宛
降る
一物
立ち合う
一般
毒
